Fecha,Precio de venta,Tipo de dólar
28/01/2013 12:00:00 a.m.,"7,66",Informal (Blue)
29/01/2013 12:00:00 a.m.,"4,985",Oficial
29/01/2013 12:00:00 a.m.,"7,8",Informal (Blue)
30/01/2013 12:00:00 a.m.,"4,98",Oficial
30/01/2013 12:00:00 a.m.,"7,93",Informal (Blue)
31/01/2013 12:00:00 a.m.,"4,98",Oficial
31/01/2013 12:00:00 a.m.,"7,92",Informal (Blue)
01/02/2013 12:00:00 a.m.,"4,99",Oficial
01/02/2013 12:00:00 a.m.,"7,92",Informal (Blue)
04/02/2013 12:00:00 a.m.,"4,99",Oficial
04/02/2013 12:00:00 a.m.,"7,72",Informal (Blue)
05/02/2013 12:00:00 a.m.,"4,99",Oficial
05/02/2013 12:00:00 a.m.,"7,59",Informal (Blue)
06/02/2013 12:00:00 a.m.,"4,995",Oficial
06/02/2013 12:00:00 a.m.,"7,7",Informal (Blue)
07/02/2013 12:00:00 a.m.,5,Oficial
07/02/2013 12:00:00 a.m.,"7,68",Informal (Blue)
08/02/2013 12:00:00 a.m.,"5,005",Oficial
08/02/2013 12:00:00 a.m.,"7,67",Informal (Blue)
13/02/2013 12:00:00 a.m.,"5,01",Oficial
13/02/2013 12:00:00 a.m.,"7,65",Informal (Blue)
14/02/2013 12:00:00 a.m.,"5,01",Oficial
14/02/2013 12:00:00 a.m.,"7,66",Informal (Blue)
15/02/2013 12:00:00 a.m.,"5,01",Oficial
15/02/2013 12:00:00 a.m.,"7,71",Informal (Blue)
18/02/2013 12:00:00 a.m.,"5,025",Oficial
18/02/2013 12:00:00 a.m.,"7,7",Informal (Blue)
19/02/2013 12:00:00 a.m.,"5,025",Oficial
19/02/2013 12:00:00 a.m.,"7,81",Informal (Blue)
21/02/2013 12:00:00 a.m.,"5,035",Oficial
21/02/2013 12:00:00 a.m.,"7,83",Informal (Blue)
22/02/2013 12:00:00 a.m.,"5,035",Oficial
22/02/2013 12:00:00 a.m.,"7,8",Informal (Blue)
25/02/2013 12:00:00 a.m.,"5,045",Oficial
25/02/2013 12:00:00 a.m.,"7,78",Informal (Blue)
26/02/2013 12:00:00 a.m.,"5,045",Oficial
26/02/2013 12:00:00 a.m.,"7,82",Informal (Blue)
27/02/2013 12:00:00 a.m.,"5,05",Oficial
27/02/2013 12:00:00 a.m.,"7,82",Informal (Blue)
28/02/2013 12:00:00 a.m.,"5,06",Oficial
28/02/2013 12:00:00 a.m.,"7,84",Informal (Blue)
01/03/2013 12:00:00 a.m.,"5,06",Oficial
01/03/2013 12:00:00 a.m.,"7,84",Informal (Blue)
04/03/2013 12:00:00 a.m.,"5,06",Oficial
04/03/2013 12:00:00 a.m.,"7,82",Informal (Blue)
05/03/2013 12:00:00 a.m.,"5,07",Oficial
05/03/2013 12:00:00 a.m.,"7,82",Informal (Blue)
